sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0096,0.9375,0.0529
6.9,3.1,5.1,2.3,virginica,0.0098,0.0135,0.9768
5.1,2.5,3.0,1.1,versicolor,0.0264,0.9473,0.0263
4.4,2.9,,0.2,setosa,0.487,0.3626,0.1504
5.9,3.0,5.1,1.8,virginica,0.0126,0.2282,0.7591
5.5,3.5,1.3,0.2,setosa,0.9461,0.0284,0.0255
5.6,,3.6,1.3,versicolor,0.0335,0.9548,0.0117
6.5,3.0,5.2,2.0,virginica,0.0089,0.0362,0.9549
5.3,3.7,1.5,0.2,setosa,0.9512,0.0244,0.0244
5.1,3.4,1.5,,setosa,0.7043,0.2042,0.0915
6.1,2.8,4.0,1.3,versicolor,0.0131,0.9739,0.013
5.5,2.4,3.7,1.0,versicolor,0.0148,0.9642,0.021
7.7,3.0,6.1,2.3,virginica,0.0119,0.0138,0.9743
6.9,3.1,4.9,1.5,versicolor,0.0175,0.7915,0.191
6.0,2.2,5.0,1.5,virginica,0.0177,0.2253,0.7569
